"_id","CustomerId","Date","PaymentMethod","Items"
"ObjectId(""6296b205fc39a43814674e7c"")",1330,"2020-11-05T22:59:25.000Z","{""Credit"":{""Quotes"":1,""Back"":""Banco de Crédito del Perú""}}","[{""ProductId"":10094,""Amount"":4},{""ProductId"":10296,""Amount"":0},{""ProductId"":10225,""Amount"":7},{""ProductId"":10214,""Amount"":9},{""ProductId"":10150,""Amount"":1},{""ProductId"":10258,""Amount"":1},{""ProductId"":10486,""Amount"":0},{""ProductId"":10381,""Amount"":2},{""ProductId"":10205,""Amount"":4},{""ProductId"":10434,""Amount"":2},{""ProductId"":10261,""Amount"":2},{""ProductId"":10493,""Amount"":7},{""ProductId"":10485,""Amount"":2},{""ProductId"":10014,""Amount"":0},{""ProductId"":10092,""Amount"":1},{""ProductId"":10417,""Amount"":2},{""ProductId"":10179,""Amount"":5}]"
"ObjectId(""6296b205fc39a43814674e7d"")",1251,"2019-06-20T22:52:01.000Z","{""Credit"":{""Quotes"":1,""Back"":""Banco Falabella""}}","[{""ProductId"":10428,""Amount"":1},{""ProductId"":10483,""Amount"":1},{""ProductId"":10110,""Amount"":4},{""ProductId"":10110,""Amount"":4},{""ProductId"":10231,""Amount"":2},{""ProductId"":10092,""Amount"":1},{""ProductId"":10316,""Amount"":1},{""ProductId"":10368,""Amount"":4},{""ProductId"":10375,""Amount"":4},{""ProductId"":10447,""Amount"":3},{""ProductId"":10122,""Amount"":5},{""ProductId"":10481,""Amount"":1},{""ProductId"":10010,""Amount"":8},{""ProductId"":10500,""Amount"":0},{""ProductId"":10290,""Amount"":2}]"
"ObjectId(""6296b205fc39a43814674e7e"")",1684,"2020-01-02T15:38:33.000Z","{""Cash"":""Debit""}","[{""ProductId"":10200,""Amount"":4},{""ProductId"":10396,""Amount"":1},{""ProductId"":10010,""Amount"":8},{""ProductId"":10212,""Amount"":2},{""ProductId"":10212,""Amount"":2},{""ProductId"":10103,""Amount"":3},{""ProductId"":10113,""Amount"":2},{""ProductId"":10022,""Amount"":1},{""ProductId"":10329,""Amount"":3},{""ProductId"":10478,""Amount"":1},{""ProductId"":10463,""Amount"":3},{""ProductId"":10105,""Amount"":1},{""ProductId"":10268,""Amount"":2},{""ProductId"":10401,""Amount"":2},{""ProductId"":10160,""Amount"":2},{""ProductId"":10093,""Amount"":2},{""ProductId"":10011,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e7f"")",1740,"2019-03-21T03:43:07.000Z","{""Cash"":""Cash""}","[{""ProductId"":10251,""Amount"":2},{""ProductId"":10245,""Amount"":1},{""ProductId"":10379,""Amount"":2},{""ProductId"":10493,""Amount"":7},{""ProductId"":10049,""Amount"":3},{""ProductId"":10061,""Amount"":4},{""ProductId"":10284,""Amount"":3},{""ProductId"":10485,""Amount"":2},{""ProductId"":10081,""Amount"":5},{""ProductId"":10446,""Amount"":5},{""ProductId"":10193,""Amount"":1},{""ProductId"":10222,""Amount"":11},{""ProductId"":10324,""Amount"":6},{""ProductId"":10351,""Amount"":0},{""ProductId"":10127,""Amount"":3},{""ProductId"":10155,""Amount"":4},{""ProductId"":10134,""Amount"":9},{""ProductId"":10445,""Amount"":4},{""ProductId"":10343,""Amount"":0}]"
"ObjectId(""6296b205fc39a43814674e80"")",1302,"2019-05-18T07:34:13.000Z","{""Cash"":""Cash""}","[{""ProductId"":10329,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e81"")",1223,"2020-05-19T21:38:47.000Z","{""Credit"":{""Quotes"":1,""Back"":""BBVA""}}","[{""ProductId"":10225,""Amount"":7},{""ProductId"":10316,""Amount"":1},{""ProductId"":10263,""Amount"":3},{""ProductId"":10334,""Amount"":5},{""ProductId"":10081,""Amount"":5},{""ProductId"":10353,""Amount"":3},{""ProductId"":10015,""Amount"":7},{""ProductId"":10141,""Amount"":7},{""ProductId"":10463,""Amount"":3},{""ProductId"":10095,""Amount"":2},{""ProductId"":10081,""Amount"":5},{""ProductId"":10203,""Amount"":1},{""ProductId"":10214,""Amount"":9},{""ProductId"":10136,""Amount"":2},{""ProductId"":10101,""Amount"":4},{""ProductId"":10119,""Amount"":2}]"
"ObjectId(""6296b205fc39a43814674e82"")",1683,"2019-07-05T13:32:01.000Z","{""Credit"":{""Quotes"":6,""Back"":""Banco Ripley""}}","[{""ProductId"":10411,""Amount"":3},{""ProductId"":10168,""Amount"":1},{""ProductId"":10407,""Amount"":0},{""ProductId"":10471,""Amount"":6},{""ProductId"":10356,""Amount"":4},{""ProductId"":10418,""Amount"":7},{""ProductId"":10278,""Amount"":5},{""ProductId"":10259,""Amount"":1},{""ProductId"":10471,""Amount"":6},{""ProductId"":10212,""Amount"":2},{""ProductId"":10054,""Amount"":1},{""ProductId"":10112,""Amount"":3},{""ProductId"":10338,""Amount"":4},{""ProductId"":10200,""Amount"":4},{""ProductId"":10389,""Amount"":1},{""ProductId"":10263,""Amount"":3},{""ProductId"":10073,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e83"")",1665,"2019-06-07T07:52:08.000Z","{""Credit"":{""Quotes"":1,""Back"":""Banco Falabella""}}","[{""ProductId"":10185,""Amount"":1},{""ProductId"":10203,""Amount"":1},{""ProductId"":10093,""Amount"":2},{""ProductId"":10138,""Amount"":3},{""ProductId"":10095,""Amount"":2},{""ProductId"":10392,""Amount"":3},{""ProductId"":10232,""Amount"":5},{""ProductId"":10359,""Amount"":6},{""ProductId"":10425,""Amount"":4},{""ProductId"":10446,""Amount"":5},{""ProductId"":10015,""Amount"":7},{""ProductId"":10278,""Amount"":5},{""ProductId"":10478,""Amount"":1}]"
"ObjectId(""6296b205fc39a43814674e84"")",1841,"2019-02-26T17:48:01.000Z","{""Credit"":{""Quotes"":4,""Back"":""BBVA""}}","[{""ProductId"":10281,""Amount"":1},{""ProductId"":10222,""Amount"":11},{""ProductId"":10138,""Amount"":3},{""ProductId"":10324,""Amount"":6},{""ProductId"":10179,""Amount"":5},{""ProductId"":10406,""Amount"":1},{""ProductId"":10363,""Amount"":6},{""ProductId"":10168,""Amount"":1},{""ProductId"":10253,""Amount"":1},{""ProductId"":10120,""Amount"":4},{""ProductId"":10462,""Amount"":1},{""ProductId"":10141,""Amount"":7},{""ProductId"":10459,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e85"")",1060,"2019-08-17T12:11:59.000Z","{""Cash"":""Cash""}","[{""ProductId"":10130,""Amount"":0},{""ProductId"":10370,""Amount"":2},{""ProductId"":10324,""Amount"":6},{""ProductId"":10038,""Amount"":2}]"
"ObjectId(""6296b205fc39a43814674e86"")",1288,"2020-03-25T07:27:31.000Z","{""Cash"":""Cash""}","[{""ProductId"":10245,""Amount"":1},{""ProductId"":10182,""Amount"":2},{""ProductId"":10220,""Amount"":0},{""ProductId"":10114,""Amount"":1},{""ProductId"":10498,""Amount"":1},{""ProductId"":10153,""Amount"":1},{""ProductId"":10084,""Amount"":1},{""ProductId"":10066,""Amount"":1},{""ProductId"":10434,""Amount"":2},{""ProductId"":10124,""Amount"":0}]"
"ObjectId(""6296b205fc39a43814674e87"")",1328,"2020-03-25T18:17:32.000Z","{""Cash"":""Debit""}","[{""ProductId"":10298,""Amount"":1}]"
"ObjectId(""6296b205fc39a43814674e88"")",1558,"2019-01-16T08:04:39.000Z","{""Credit"":{""Quotes"":4,""Back"":""Banco Ripley""}}","[{""ProductId"":10222,""Amount"":11},{""ProductId"":10107,""Amount"":0},{""ProductId"":10081,""Amount"":5},{""ProductId"":10061,""Amount"":4},{""ProductId"":10418,""Amount"":7},{""ProductId"":10417,""Amount"":2},{""ProductId"":10235,""Amount"":4},{""ProductId"":10314,""Amount"":4},{""ProductId"":10118,""Amount"":2},{""ProductId"":10457,""Amount"":2},{""ProductId"":10284,""Amount"":3},{""ProductId"":10321,""Amount"":11},{""ProductId"":10221,""Amount"":0},{""ProductId"":10338,""Amount"":4},{""ProductId"":10324,""Amount"":6},{""ProductId"":10488,""Amount"":0}]"
"ObjectId(""6296b205fc39a43814674e89"")",1605,"2020-01-01T04:07:30.000Z","{""Cash"":""Cash""}","[{""ProductId"":10284,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e8a"")",1058,"2019-07-11T17:23:14.000Z","{""Cash"":""Debit""}","[{""ProductId"":10301,""Amount"":2},{""ProductId"":10134,""Amount"":9},{""ProductId"":10374,""Amount"":2},{""ProductId"":10144,""Amount"":1},{""ProductId"":10463,""Amount"":3},{""ProductId"":10306,""Amount"":2},{""ProductId"":10425,""Amount"":4},{""ProductId"":10320,""Amount"":1},{""ProductId"":10342,""Amount"":5},{""ProductId"":10006,""Amount"":2},{""ProductId"":10457,""Amount"":2},{""ProductId"":10423,""Amount"":2},{""ProductId"":10463,""Amount"":3},{""ProductId"":10056,""Amount"":1},{""ProductId"":10067,""Amount"":6}]"
"ObjectId(""6296b205fc39a43814674e8b"")",1384,"2019-05-06T05:39:13.000Z","{""Cash"":""Cash""}","[{""ProductId"":10147,""Amount"":2},{""ProductId"":10092,""Amount"":1},{""ProductId"":10235,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e8c"")",1009,"2019-02-20T21:37:20.000Z","{""Credit"":{""Quotes"":6,""Back"":""Banco Ripley""}}","[{""ProductId"":10464,""Amount"":3},{""ProductId"":10467,""Amount"":4},{""ProductId"":10371,""Amount"":2},{""ProductId"":10339,""Amount"":1},{""ProductId"":10272,""Amount"":1},{""ProductId"":10048,""Amount"":3},{""ProductId"":10081,""Amount"":5},{""ProductId"":10174,""Amount"":1},{""ProductId"":10295,""Amount"":2},{""ProductId"":10275,""Amount"":3},{""ProductId"":10370,""Amount"":2},{""ProductId"":10157,""Amount"":3},{""ProductId"":10165,""Amount"":3},{""ProductId"":10333,""Amount"":2},{""ProductId"":10074,""Amount"":4},{""ProductId"":10262,""Amount"":2}]"
"ObjectId(""6296b205fc39a43814674e8d"")",1428,"2020-02-01T04:01:45.000Z","{""Credit"":{""Quotes"":1,""Back"":""Banco Ripley""}}","[{""ProductId"":10171,""Amount"":2},{""ProductId"":10261,""Amount"":2},{""ProductId"":10401,""Amount"":2},{""ProductId"":10463,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e8e"")",1342,"2020-02-11T23:47:05.000Z","{""Credit"":{""Quotes"":1,""Back"":""Banco Ripley""}}","[{""ProductId"":10116,""Amount"":0},{""ProductId"":10235,""Amount"":4},{""ProductId"":10344,""Amount"":0},{""ProductId"":10070,""Amount"":1},{""ProductId"":10306,""Amount"":2},{""ProductId"":10214,""Amount"":9},{""ProductId"":10168,""Amount"":1}]"
"ObjectId(""6296b205fc39a43814674e8f"")",1717,"2020-10-24T16:56:53.000Z","{""Cash"":""Cash""}","[{""ProductId"":10321,""Amount"":11},{""ProductId"":10359,""Amount"":6},{""ProductId"":10141,""Amount"":7},{""ProductId"":10342,""Amount"":5},{""ProductId"":10479,""Amount"":0},{""ProductId"":10368,""Amount"":4},{""ProductId"":10425,""Amount"":4},{""ProductId"":10077,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e90"")",1503,"2020-02-03T01:19:23.000Z","{""Cash"":""Debit""}","[{""ProductId"":10224,""Amount"":1},{""ProductId"":10242,""Amount"":0},{""ProductId"":10058,""Amount"":0},{""ProductId"":10387,""Amount"":0},{""ProductId"":10409,""Amount"":0},{""ProductId"":10331,""Amount"":1},{""ProductId"":10104,""Amount"":1},{""ProductId"":10496,""Amount"":2},{""ProductId"":10046,""Amount"":1},{""ProductId"":10323,""Amount"":1},{""ProductId"":10164,""Amount"":0},{""ProductId"":10093,""Amount"":2},{""ProductId"":10136,""Amount"":2},{""ProductId"":10103,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e91"")",1064,"2020-03-11T13:11:07.000Z","{""Cash"":""Debit""}","[{""ProductId"":10094,""Amount"":4},{""ProductId"":10076,""Amount"":0},{""ProductId"":10244,""Amount"":1},{""ProductId"":10198,""Amount"":2},{""ProductId"":10399,""Amount"":1}]"
"ObjectId(""6296b205fc39a43814674e92"")",1204,"2019-04-05T19:04:15.000Z","{""Credit"":{""Quotes"":3,""Back"":""BBVA""}}","[{""ProductId"":10471,""Amount"":6},{""ProductId"":10128,""Amount"":3},{""ProductId"":10208,""Amount"":1},{""ProductId"":10202,""Amount"":1},{""ProductId"":10421,""Amount"":1},{""ProductId"":10412,""Amount"":8},{""ProductId"":10423,""Amount"":2},{""ProductId"":10317,""Amount"":2},{""ProductId"":10124,""Amount"":0},{""ProductId"":10103,""Amount"":3},{""ProductId"":10066,""Amount"":1},{""ProductId"":10284,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e93"")",1394,"2019-03-04T12:13:35.000Z","{""Cash"":""Cash""}","[{""ProductId"":10194,""Amount"":3},{""ProductId"":10134,""Amount"":9},{""ProductId"":10138,""Amount"":3},{""ProductId"":10416,""Amount"":6},{""ProductId"":10120,""Amount"":4},{""ProductId"":10439,""Amount"":3},{""ProductId"":10179,""Amount"":5},{""ProductId"":10283,""Amount"":4},{""ProductId"":10356,""Amount"":4},{""ProductId"":10081,""Amount"":5},{""ProductId"":10480,""Amount"":0},{""ProductId"":10384,""Amount"":0},{""ProductId"":10356,""Amount"":4},{""ProductId"":10459,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e94"")",1195,"2019-01-16T06:12:58.000Z","{""Credit"":{""Quotes"":1,""Back"":""BBVA""}}","[{""ProductId"":10072,""Amount"":2},{""ProductId"":10081,""Amount"":5},{""ProductId"":10179,""Amount"":5},{""ProductId"":10050,""Amount"":1},{""ProductId"":10103,""Amount"":3},{""ProductId"":10057,""Amount"":3},{""ProductId"":10010,""Amount"":8},{""ProductId"":10193,""Amount"":1},{""ProductId"":10219,""Amount"":2},{""ProductId"":10371,""Amount"":2},{""ProductId"":10283,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e95"")",1859,"2020-04-12T02:51:45.000Z","{""Credit"":{""Quotes"":1,""Back"":""Banco Falabella""}}","[{""ProductId"":10321,""Amount"":11},{""ProductId"":10123,""Amount"":2},{""ProductId"":10446,""Amount"":5},{""ProductId"":10397,""Amount"":2},{""ProductId"":10235,""Amount"":4},{""ProductId"":10416,""Amount"":6},{""ProductId"":10118,""Amount"":2}]"
"ObjectId(""6296b205fc39a43814674e96"")",1626,"2020-04-12T06:57:02.000Z","{""Cash"":""Debit""}","[{""ProductId"":10416,""Amount"":6},{""ProductId"":10232,""Amount"":5},{""ProductId"":10062,""Amount"":4},{""ProductId"":10500,""Amount"":0},{""ProductId"":10412,""Amount"":8},{""ProductId"":10133,""Amount"":3},{""ProductId"":10045,""Amount"":5},{""ProductId"":10015,""Amount"":7},{""ProductId"":10398,""Amount"":2},{""ProductId"":10061,""Amount"":4},{""ProductId"":10127,""Amount"":3},{""ProductId"":10056,""Amount"":1},{""ProductId"":10481,""Amount"":1},{""ProductId"":10160,""Amount"":2},{""ProductId"":10120,""Amount"":4},{""ProductId"":10359,""Amount"":6},{""ProductId"":10324,""Amount"":6},{""ProductId"":10165,""Amount"":3},{""ProductId"":10279,""Amount"":1}]"
"ObjectId(""6296b205fc39a43814674e97"")",1632,"2020-05-19T20:39:50.000Z","{""Cash"":""Debit""}","[{""ProductId"":10288,""Amount"":1},{""ProductId"":10018,""Amount"":1},{""ProductId"":10418,""Amount"":7},{""ProductId"":10016,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e98"")",1242,"2020-01-18T20:46:44.000Z","{""Credit"":{""Quotes"":3,""Back"":""Banco Ripley""}}","[{""ProductId"":10305,""Amount"":1},{""ProductId"":10261,""Amount"":2},{""ProductId"":10108,""Amount"":3},{""ProductId"":10453,""Amount"":0},{""ProductId"":10197,""Amount"":0},{""ProductId"":10324,""Amount"":6},{""ProductId"":10412,""Amount"":8},{""ProductId"":10344,""Amount"":0},{""ProductId"":10268,""Amount"":2},{""ProductId"":10473,""Amount"":1},{""ProductId"":10157,""Amount"":3},{""ProductId"":10073,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e99"")",1824,"2020-05-08T02:50:42.000Z","{""Credit"":{""Quotes"":1,""Back"":""Banco de Crédito del Perú""}}","[{""ProductId"":10078,""Amount"":0},{""ProductId"":10110,""Amount"":4},{""ProductId"":10293,""Amount"":0},{""ProductId"":10059,""Amount"":0},{""ProductId"":10334,""Amount"":5},{""ProductId"":10155,""Amount"":4},{""ProductId"":10446,""Amount"":5},{""ProductId"":10320,""Amount"":1},{""ProductId"":10216,""Amount"":0}]"
"ObjectId(""6296b205fc39a43814674e9a"")",1549,"2020-11-25T06:20:20.000Z","{""Credit"":{""Quotes"":2,""Back"":""Banco Ripley""}}","[{""ProductId"":10016,""Amount"":3},{""ProductId"":10412,""Amount"":8},{""ProductId"":10082,""Amount"":1},{""ProductId"":10363,""Amount"":6},{""ProductId"":10464,""Amount"":3},{""ProductId"":10227,""Amount"":1},{""ProductId"":10073,""Amount"":4},{""ProductId"":10317,""Amount"":2},{""ProductId"":10026,""Amount"":3},{""ProductId"":10417,""Amount"":2},{""ProductId"":10031,""Amount"":4},{""ProductId"":10017,""Amount"":0}]"
"ObjectId(""6296b205fc39a43814674e9b"")",1089,"2019-04-20T15:35:32.000Z","{""Cash"":""Debit""}","[{""ProductId"":10411,""Amount"":3},{""ProductId"":10379,""Amount"":2},{""ProductId"":10446,""Amount"":5}]"
"ObjectId(""6296b205fc39a43814674e9c"")",1511,"2019-09-14T08:03:18.000Z","{""Cash"":""Debit""}","[{""ProductId"":10127,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e9d"")",1082,"2020-04-08T15:06:08.000Z","{""Credit"":{""Quotes"":1,""Back"":""Banco Falabella""}}","[{""ProductId"":10378,""Amount"":2},{""ProductId"":10247,""Amount"":0},{""ProductId"":10067,""Amount"":6},{""ProductId"":10469,""Amount"":1},{""ProductId"":10183,""Amount"":1},{""ProductId"":10222,""Amount"":11},{""ProductId"":10178,""Amount"":1},{""ProductId"":10064,""Amount"":0},{""ProductId"":10222,""Amount"":11},{""ProductId"":10423,""Amount"":2},{""ProductId"":10425,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e9e"")",1236,"2020-01-16T02:38:01.000Z","{""Cash"":""Cash""}","[{""ProductId"":10222,""Amount"":11},{""ProductId"":10366,""Amount"":2},{""ProductId"":10209,""Amount"":1},{""ProductId"":10268,""Amount"":2},{""ProductId"":10310,""Amount"":1},{""ProductId"":10431,""Amount"":5},{""ProductId"":10278,""Amount"":5},{""ProductId"":10031,""Amount"":4},{""ProductId"":10258,""Amount"":1}]"
